event_id,exposure_value,summary_id,sidx,loss
1800056,159591.42,13,-1,14691.53
1800056,159591.42,13,1,48324.76
1800056,159591.42,13,2,14327.38
1800056,159591.42,13,4,14682.50
1800056,159591.42,13,5,22602.29
1800056,159591.42,13,6,42059.36
1800056,159591.42,13,7,46772.87
1800056,159591.42,13,10,55143.76
1800056,236585.00,14,-1,8868.08
1800056,236585.00,14,5,95030.12
1800056,236585.00,14,8,28306.48
1800056,476871.03,15,-1,22464.94
1800056,476871.03,15,3,8237.60
1800056,476871.03,15,5,113298.61
1800056,476871.03,15,10,11287.84
1800056,352756.00,16,-1,22769.40
1800056,352756.00,16,4,51757.96
1800056,352756.00,16,5,92907.55
1800056,352756.00,16,7,96350.51
1800056,352756.00,16,9,131708.27
1800056,174428.61,17,-1,11217.26
1800056,174428.61,17,3,42475.37
1800056,174428.61,17,4,86579.09
1800056,174428.61,17,9,48302.17
1800056,929730.00,18,-1,60662.77
1800056,929730.00,18,1,39011.12
1800056,929730.00,18,4,101290.80
1800056,929730.00,18,8,64632.57
1800056,929730.00,18,9,274929.72
1800056,7500.00,19,-1,528.50
1800056,575000.00,20,-1,23878.44
1500076,66020.00,2,-1,2677.03
1500076,66020.00,2,5,22493.33
1500076,66020.00,2,10,41525.88
1500076,349701.97,12,-1,9123.99
1500076,349701.97,12,4,25075.80
1500076,349701.97,12,5,32213.67
1500076,349701.97,12,9,11723.87
1500076,349701.97,12,10,46491.02
1500076,159591.42,13,-1,4389.26
1500076,159591.42,13,1,13603.54
1500076,159591.42,13,8,11762.99
1500076,159591.42,13,10,10544.01
1500076,236585.00,14,-1,1158.57
1500076,476871.03,15,-1,3181.93
1500076,352756.00,16,-1,3729.28
1500076,174428.61,17,-1,1836.42
1500076,174428.61,17,3,30850.48
300055,66020.00,2,-1,3660.10
300055,349701.97,12,-1,12186.80
300055,349701.97,12,8,25473.85
300055,349701.97,12,10,86878.97
300055,159591.42,13,-1,5860.16
300055,159591.42,13,5,18932.12
300055,236585.00,14,-1,2103.84
300055,476871.03,15,-1,5596.56
300055,352756.00,16,-1,6777.42
300055,352756.00,16,7,7138.16
300055,352756.00,16,8,23309.97
300055,174428.61,17,-1,3337.93
300055,174428.61,17,1,39435.33
1000068,66020.00,2,-1,7887.99
1000068,66020.00,2,1,20260.15
1000068,66020.00,2,3,17702.04
1000068,66020.00,2,4,40158.04
1000068,415543.94,3,-1,5155.17
1000068,415543.94,3,7,10758.67
1000068,415543.94,3,8,25791.10
1000068,138156.72,4,-1,1712.53
1000068,138156.72,4,1,17939.65
1000068,219837.00,5,-1,2674.90
1000068,219837.00,5,4,10507.51
1000068,349701.97,12,-1,25025.95
1000068,349701.97,12,2,64139.64
1000068,349701.97,12,5,47702.77
1000068,349701.97,12,6,47226.57
1000068,349701.97,12,9,56031.11
1000068,349701.97,12,10,102086.28
1000068,159591.42,13,-1,12020.42
1000068,159591.42,13,1,25995.56
1000068,159591.42,13,3,26373.16
1000068,159591.42,13,5,17328.59
1000068,159591.42,13,6,22195.86
1000068,159591.42,13,9,17191.23
1000068,159591.42,13,10,27510.64
1000068,236585.00,14,-1,5640.14
1000068,476871.03,15,-1,14414.67
1000068,476871.03,15,1,93308.00
1000068,476871.03,15,2,6852.29
1000068,476871.03,15,3,64492.70
1000068,476871.03,15,6,101223.23
1000068,352756.00,16,-1,16786.86
1000068,352756.00,16,1,69364.40
1000068,352756.00,16,3,70911.12
1000068,352756.00,16,7,52268.33
1000068,174428.61,17,-1,8269.44
1000068,174428.61,17,5,30533.04
1000068,174428.61,17,8,42893.03
1000068,174428.61,17,10,50678.64
1000068,929730.00,18,-1,44410.14
1000068,929730.00,18,2,84425.95
1000068,929730.00,18,3,72251.43
1000068,929730.00,18,9,48428.70
1000068,929730.00,18,10,78651.53
1000068,7500.00,19,-1,92.56
1000068,575000.00,20,-1,3448.53
1400040,62000.00,1,-1,14496.50
1400040,62000.00,1,1,50682.26
1400040,62000.00,1,3,46373.39
1400040,62000.00,1,4,7738.79
1400040,62000.00,1,6,14714.39
1400040,62000.00,1,7,4607.66
1400040,62000.00,1,8,14565.32
1400040,66020.00,2,-1,2604.60
1400040,66020.00,2,8,14843.93
1400040,415543.94,3,-1,36895.46
1400040,415543.94,3,1,156319.64
1400040,415543.94,3,2,21282.75
1400040,415543.94,3,3,126993.16
1400040,415543.94,3,5,47637.00
1400040,415543.94,3,7,70029.91
1400040,415543.94,3,9,69036.79
1400040,415543.94,3,10,83043.64
1400040,138156.72,4,-1,12255.27
1400040,138156.72,4,1,45045.87
1400040,138156.72,4,7,28908.40
1400040,138156.72,4,8,21845.26
1400040,219837.00,5,-1,19097.93
1400040,219837.00,5,6,50735.12
1400040,26947.97,6,-1,4412.50
1400040,87186.00,7,-1,10187.36
1400040,87186.00,7,2,13818.99
1400040,87186.00,7,3,26036.66
1400040,87186.00,7,7,51623.66
1400040,87186.00,7,8,24921.91
1400040,36000.00,8,-1,5894.69
1400040,36000.00,8,3,11047.25
1400040,36000.00,8,8,23925.87
1400040,180684.00,9,-1,30508.93
1400040,180684.00,9,6,71482.30
1400040,180684.00,9,8,77870.13
1400040,180684.00,9,9,32805.34
1400040,171182.41,10,-1,27986.99
1400040,171182.41,10,1,25058.03
1400040,171182.41,10,7,101347.99
1400040,171182.41,10,8,39438.60
1400040,137875.00,11,-1,22854.19
1400040,137875.00,11,9,103453.08
1400040,137875.00,11,10,101862.52
1400040,349701.97,12,-1,8474.55
1400040,349701.97,12,3,45086.69
1400040,349701.97,12,8,12988.74
1400040,159591.42,13,-1,4077.98
1400040,159591.42,13,7,14911.09
1400040,236585.00,14,-1,3548.40
1400040,476871.03,15,-1,9218.00
1400040,352756.00,16,-1,11211.83
1400040,174428.61,17,-1,5522.61
1400040,174428.61,17,1,35544.43
1400040,929730.00,18,-1,42807.41
1400040,929730.00,18,2,68238.92
1400040,929730.00,18,4,43914.45
1400040,929730.00,18,5,104140.23
1400040,929730.00,18,7,47114.11
1400040,929730.00,18,8,45239.71
1400040,7500.00,19,-1,495.81
1400040,7500.00,19,2,4190.44
1400040,575000.00,20,-1,21874.20
1400040,575000.00,20,3,282001.38
1800190,929730.00,18,-1,592.46
163,929730.00,18,-1,296.22
1000112,66020.00,2,-1,555.20
1000112,66020.00,2,9,11880.98
1000112,349701.97,12,-1,1988.15
1000112,159591.42,13,-1,958.85
1000112,236585.00,14,-1,56.69
1000112,476871.03,15,-1,174.14
1000112,352756.00,16,-1,176.95
1000112,174428.61,17,-1,87.09
2000179,7500.00,19,-1,9.97
2000179,575000.00,20,-1,320.71
500228,66020.00,2,-1,8305.20
500228,66020.00,2,3,65972.84
500228,66020.00,2,4,43570.46
500228,66020.00,2,5,19926.67
500228,66020.00,2,7,61179.55
500228,349701.97,12,-1,26459.50
500228,349701.97,12,7,54782.67
500228,349701.97,12,10,52431.46
500228,159591.42,13,-1,12706.77
500228,159591.42,13,2,56804.44
500228,159591.42,13,3,28447.16
500228,159591.42,13,4,22325.39
500228,159591.42,13,7,16241.57
500228,159591.42,13,8,44033.11
500228,159591.42,13,9,53738.38
500228,236585.00,14,-1,6507.25
500228,236585.00,14,4,4836.73
500228,476871.03,15,-1,16600.72
500228,476871.03,15,5,64616.75
500228,476871.03,15,8,36839.89
500228,352756.00,16,-1,18102.21
500228,352756.00,16,1,50866.11
500228,352756.00,16,2,120207.38
500228,352756.00,16,8,52275.12
500228,352756.00,16,9,49041.91
500228,174428.61,17,-1,8917.53
500228,174428.61,17,1,44536.97
500228,174428.61,17,2,23097.63
500228,174428.61,17,4,29590.88
500228,174428.61,17,7,28991.17
500228,929730.00,18,-1,2691.10
500228,929730.00,18,4,76486.14
500228,929730.00,18,8,21984.70
1100122,62000.00,1,-1,2991.41
1100122,415543.94,3,-1,32679.92
1100122,415543.94,3,2,53822.90
1100122,415543.94,3,3,47706.35
1100122,415543.94,3,6,12658.12
1100122,415543.94,3,7,19202.40
1100122,415543.94,3,8,68693.28
1100122,415543.94,3,10,25202.27
1100122,138156.72,4,-1,10855.32
1100122,138156.72,4,3,47957.27
1100122,138156.72,4,4,44440.77
1100122,138156.72,4,5,34703.03
1100122,138156.72,4,6,30075.84
1100122,138156.72,4,7,13465.42
1100122,138156.72,4,9,32647.46
1100122,219837.00,5,-1,16926.66
1100122,219837.00,5,2,34724.06
1100122,219837.00,5,4,56104.20
1100122,219837.00,5,5,59391.41
1100122,219837.00,5,6,55003.86
1100122,26947.97,6,-1,2000.14
1100122,26947.97,6,1,10915.28
1100122,26947.97,6,2,2249.26
1100122,26947.97,6,10,4941.31
1100122,87186.00,7,-1,4386.13
1100122,87186.00,7,3,7949.68
1100122,87186.00,7,4,9213.89
1100122,87186.00,7,5,7061.26
1100122,36000.00,8,-1,2672.01
1100122,36000.00,8,7,22360.78
1100122,7500.00,19,-1,447.50
1100122,7500.00,19,2,5302.25
1100122,575000.00,20,-1,18882.56
1100122,575000.00,20,3,338675.75
2000181,66020.00,2,-1,54.03
2000181,349701.97,12,-1,222.90
2000181,159591.42,13,-1,107.74
600024,66020.00,2,-1,7752.13
600024,66020.00,2,7,13125.55
600024,349701.97,12,-1,24468.17
600024,349701.97,12,1,74285.60
600024,349701.97,12,5,62368.68
600024,349701.97,12,6,29096.88
600024,349701.97,12,8,59450.82
600024,349701.97,12,9,29331.08
600024,349701.97,12,10,81068.66
600024,159591.42,13,-1,11753.20
600024,159591.42,13,2,28582.52
600024,159591.42,13,3,13981.51
600024,159591.42,13,7,20714.26
600024,159591.42,13,10,67660.41
600024,236585.00,14,-1,5323.75
600024,236585.00,14,7,107904.70
600024,476871.03,15,-1,13617.52
600024,476871.03,15,5,86651.02
600024,476871.03,15,7,52219.00
600024,476871.03,15,8,31096.06
600024,476871.03,15,10,138218.97
600024,352756.00,16,-1,16078.54
600024,352756.00,16,1,77167.76
600024,352756.00,16,2,72377.53
600024,352756.00,16,4,82092.33
600024,174428.61,17,-1,7920.45
600024,174428.61,17,2,12246.96
600024,174428.61,17,4,36493.25
600024,174428.61,17,7,44950.95
600024,174428.61,17,8,54241.21
600024,174428.61,17,9,62775.67
600024,174428.61,17,10,43568.01
600024,929730.00,18,-1,3871.26
1400006,415543.94,3,-1,32776.58
1400006,415543.94,3,1,65663.43
1400006,415543.94,3,2,54710.75
1400006,415543.94,3,5,9038.85
1400006,415543.94,3,6,61489.75
1400006,415543.94,3,7,6886.88
1400006,415543.94,3,8,17980.68
1400006,415543.94,3,9,35409.07
1400006,415543.94,3,10,52613.94
1400006,138156.72,4,-1,10887.42
1400006,138156.72,4,4,17124.33
1400006,138156.72,4,5,28744.99
1400006,138156.72,4,6,32637.06
1400006,138156.72,4,8,24883.86
1400006,219837.00,5,-1,16976.44
1400006,219837.00,5,4,48954.33
1400006,219837.00,5,8,17796.80
1400006,219837.00,5,9,63034.15
1400006,219837.00,5,10,61355.57
1400006,26947.97,6,-1,708.59
1400006,26947.97,6,5,13571.28
1400006,87186.00,7,-1,1520.00
1400006,87186.00,7,6,6748.45
1400006,36000.00,8,-1,946.61
1400006,36000.00,8,1,14936.22
1400006,36000.00,8,3,6768.69
1400006,7500.00,19,-1,453.41
1400006,575000.00,20,-1,19258.00
1400006,575000.00,20,7,276846.47
1800288,180684.00,9,-1,20674.65
1800288,180684.00,9,1,29751.48
1800288,180684.00,9,2,22164.15
1800288,180684.00,9,6,31540.01
1800288,180684.00,9,9,49440.06
1800288,180684.00,9,10,17828.29
1800288,171182.41,10,-1,18962.87
1800288,171182.41,10,1,51182.13
1800288,171182.41,10,10,10367.68
1800288,137875.00,11,-1,15486.06
1800288,137875.00,11,1,63457.67
1800288,137875.00,11,6,39108.65
1800288,137875.00,11,8,29687.25
1200148,66020.00,2,-1,5182.34
1200148,66020.00,2,1,9654.99
1200148,66020.00,2,2,19947.66
1200148,66020.00,2,7,429.95
1200148,66020.00,2,8,17730.13
1200148,349701.97,12,-1,16459.70
1200148,349701.97,12,2,52099.77
1200148,349701.97,12,3,77065.80
1200148,349701.97,12,4,77481.91
1200148,349701.97,12,5,7249.68
1200148,349701.97,12,6,45177.91
1200148,349701.97,12,10,70190.51
1200148,159591.42,13,-1,7912.21
1200148,159591.42,13,1,27591.13
1200148,159591.42,13,2,15722.81
1200148,159591.42,13,3,35065.44
1200148,159591.42,13,6,13465.68
1200148,159591.42,13,7,22731.27
1200148,159591.42,13,9,18441.50
1200148,236585.00,14,-1,5012.20
1200148,236585.00,14,10,94581.37
1200148,476871.03,15,-1,12829.71
1200148,476871.03,15,3,58609.73
1200148,476871.03,15,8,60868.21
1200148,476871.03,15,9,96410.47
1200148,352756.00,16,-1,15632.84
1200148,352756.00,16,5,116766.12
1200148,174428.61,17,-1,7700.85
