summary_id,type,return_period,loss
1,1,10000.000000,9763.553711
1,1,5000.000000,7248.250488
1,1,3333.333252,6734.235840
1,1,2500.000000,6572.632324
1,1,2000.000000,6572.632324
1,1,1666.666626,6501.082520
1,1,1428.571411,6498.395996
1,1,1250.000000,6304.021484
1,1,1111.111084,6158.055664
1,1,1000.000000,5901.620117
1,1,909.090881,5760.383789
1,1,833.333313,5510.049316
1,1,769.230774,5446.978027
1,1,714.285706,5287.228027
1,1,666.666687,5203.068848
1,1,625.000000,5199.804688
1,1,588.235291,5065.532715
1,1,555.555542,5064.843750
1,1,526.315796,5039.747559
1,1,500.000000,5039.050293
1,1,476.190491,5004.787598
1,1,454.545441,4994.160645
1,1,434.782623,4967.478516
1,1,416.666656,4962.155762
1,1,400.000000,4960.156250
1,1,384.615387,4936.400391
1,1,370.370361,4932.300781
1,1,357.142853,4926.059082
1,1,344.827576,4892.882324
1,1,333.333344,4831.768555
1,1,322.580658,4828.190918
1,1,312.500000,4815.455566
1,1,303.030304,4762.318359
1,1,294.117645,4761.667480
1,1,285.714294,4754.901367
1,1,277.777771,4751.503906
1,1,270.270264,4727.905762
1,1,263.157898,4726.477539
1,1,256.410248,4718.270508
1,1,250.000000,4692.480469
1,1,243.902435,4689.004883
1,1,238.095245,4283.214844
1,1,232.558136,4227.172852
1,1,227.272720,3878.636230
1,1,222.222229,3598.293701
1,1,217.391312,3177.948242
1,1,212.765961,2914.423340
1,1,208.333328,2583.666748
1,1,204.081635,2352.920654
1,1,200.000000,2335.742920
1,1,196.078430,2246.486572
1,1,192.307693,2217.126953
1,1,188.679245,2140.091553
1,1,185.185181,2096.377930
1,1,181.818176,1872.323364
1,1,178.571426,1766.833252
1,1,175.438599,1495.702637
1,1,172.413788,1468.626343
1,1,169.491531,1439.739380
1,1,166.666672,1411.955200
1,1,163.934433,1097.701660
1,1,161.290329,886.606323
1,1,158.730164,809.436279
1,1,156.250000,389.278076
1,1,153.846161,359.399261
1,1,151.515152,285.668274
1,1,149.253738,276.427063
1,1,147.058823,275.127655
1,1,144.927536,236.909027
1,1,142.857147,170.701385
1,1,140.845078,36.629986
1,1,138.888885,16.036684
1,1,136.986298,6.872647
2,1,10000.000000,7341.818359
2,1,5000.000000,6275.240723
2,1,3333.333252,5654.950195
