summary_id,sidx,return_period,loss
1,2,5.000000,6648.375488
1,3,5.000000,7204.436035
1,4,5.000000,9646.733398
1,6,5.000000,24913.939453
1,7,5.000000,14629.734375
1,8,5.000000,13395.230469
1,12,5.000000,6306.780762
1,19,5.000000,16896.324219
1,20,5.000000,166.796707
1,22,5.000000,22017.167969
1,25,5.000000,21333.039062
1,27,5.000000,14438.342773
1,29,5.000000,22980.554688
1,31,5.000000,1581.530518
1,32,5.000000,17343.580078
1,34,5.000000,11353.548828
1,38,5.000000,10443.374023
1,39,5.000000,23832.339844
1,42,5.000000,10898.204102
1,43,5.000000,37384.074219
1,44,5.000000,8936.853516
1,45,5.000000,2048.978027
1,50,5.000000,9297.795898
1,54,5.000000,18302.541016
1,55,5.000000,788.479553
1,56,5.000000,18029.468750
1,57,5.000000,14457.517578
1,58,5.000000,15341.851562
1,60,5.000000,19248.386719
1,62,5.000000,5986.120605
1,64,5.000000,14354.941406
1,65,5.000000,9826.606445
1,68,5.000000,11456.341797
1,69,5.000000,20413.214844
1,81,5.000000,7002.011230
1,82,5.000000,14541.223633
1,84,5.000000,21246.228516
1,86,5.000000,14433.084961
1,89,5.000000,5024.537109
1,91,5.000000,18341.669922
1,95,5.000000,9317.967773
1,98,5.000000,22394.574219
1,99,5.000000,13482.456055
2,5,5.000000,32176.109375
2,9,5.000000,25915.933594
2,10,5.000000,11149.760742
2,16,5.000000,5449.052246
2,18,5.000000,13666.226562
2,19,5.000000,26931.367188
2,20,5.000000,7372.998047
2,23,5.000000,2132.831543
2,25,5.000000,11052.607422
2,26,5.000000,3179.688232
2,31,5.000000,23.938128
2,32,5.000000,32185.212891
2,33,5.000000,3567.746826
2,38,5.000000,12810.979492
2,41,5.000000,13319.892578
2,42,5.000000,194.055099
2,47,5.000000,14846.536133
2,48,5.000000,4814.553711
2,52,5.000000,24787.593750
2,54,5.000000,4301.567871
2,58,5.000000,7968.973633
2,67,5.000000,28729.447266
2,70,5.000000,6830.360840
2,75,5.000000,34452.796875
2,77,5.000000,10632.707031
2,80,5.000000,12719.771484
2,85,5.000000,14.770514
2,87,5.000000,21811.513672
2,89,5.000000,17406.720703
2,94,5.000000,6314.624512
2,95,5.000000,16432.224609
2,97,5.000000,23548.722656
3,1,5.000000,16789.585938
3,2,5.000000,12644.480469
3,3,5.000000,25088.195312
3,5,5.000000,18622.037109
3,6,5.000000,5350.761719
3,7,5.000000,30557.564453
3,8,5.000000,23160.398438
3,10,5.000000,30121.373047
3,11,5.000000,43645.570312
3,12,5.000000,28212.072266
3,13,5.000000,36646.328125
3,14,5.000000,34227.140625
3,16,5.000000,23379.316406
3,17,5.000000,22114.843750
3,18,5.000000,26236.611328
3,19,5.000000,45562.527344
3,20,5.000000,15611.787109
3,21,5.000000,10509.189453
3,22,5.000000,39576.093750
3,23,5.000000,17288.144531
3,25,5.000000,19816.585938
3,26,5.000000,10725.148438
3,27,5.000000,60806.542969
3,28,5.000000,20513.292969
3,30,5.000000,16519.724609
3,31,5.000000,17650.875000
3,32,5.000000,27693.925781
3,33,5.000000,48658.441406
3,34,5.000000,34616.937500
3,35,5.000000,36893.398438
3,36,5.000000,30571.748047
3,37,5.000000,38418.671875
3,40,5.000000,17705.089844
3,41,5.000000,24566.783203
3,42,5.000000,12721.822266
3,43,5.000000,35995.546875
3,44,5.000000,38064.039062
3,45,5.000000,17847.101562
3,46,5.000000,3281.581055
3,48,5.000000,20992.255859
3,49,5.000000,18763.421875
3,50,5.000000,15944.125000
3,51,5.000000,24810.007812
3,52,5.000000,19800.673828
3,53,5.000000,15353.576172
3,54,5.000000,8229.080078
3,55,5.000000,11018.871094
3,56,5.000000,38428.871094
3,57,5.000000,30346.740234
3,58,5.000000,12672.580078
3,59,5.000000,35616.734375
3,60,5.000000,30777.052734
3,61,5.000000,13263.757812
3,62,5.000000,3664.700439
3,63,5.000000,41736.417969
3,64,5.000000,27947.845703
3,65,5.000000,27295.199219
3,66,5.000000,21728.148438
3,67,5.000000,14433.926758
3,68,5.000000,42207.253906
3,69,5.000000,24856.648438
3,70,5.000000,42291.242188
3,71,5.000000,10773.834961
3,72,5.000000,29466.992188
3,73,5.000000,72620.828125
3,74,5.000000,8164.921875
3,75,5.000000,8516.166016
3,76,5.000000,28413.728516
3,77,5.000000,49561.410156
3,78,5.000000,14963.659180
3,79,5.000000,11462.317383
3,80,5.000000,6845.177734
3,81,5.000000,13840.634766
3,82,5.000000,24697.431641
3,83,5.000000,13286.828125
3,84,5.000000,16346.227539
3,86,5.000000,35869.000000
3,87,5.000000,32473.781250
3,88,5.000000,15252.130859
3,89,5.000000,30373.281250
3,90,5.000000,20297.425781
3,91,5.000000,20085.871094
3,92,5.000000,28194.417969
3,93,5.000000,16556.484375
3,94,5.000000,12052.265625
3,95,5.000000,6070.526367
3,97,5.000000,14588.230469
3,98,5.000000,28179.257812
3,99,5.000000,23606.246094
3,100,5.000000,28285.482422
4,1,5.000000,3692.202637
4,4,5.000000,23885.929688
4,7,5.000000,13025.878906
4,8,5.000000,11534.335938
4,9,5.000000,11442.086914
4,10,5.000000,18317.828125
4,11,5.000000,7538.543945
4,12,5.000000,15535.211914
4,14,5.000000,7236.726074
4,15,5.000000,8524.076172
4,16,5.000000,14002.578125
4,17,5.000000,2855.137207
4,19,5.000000,9242.983398
4,21,5.000000,10579.445312
4,22,5.000000,45184.117188
4,24,5.000000,9841.910156
4,25,5.000000,9223.687500
4,26,5.000000,15576.375000
4,28,5.000000,28852.320312
4,29,5.000000,27462.578125
4,30,5.000000,19119.437500
4,31,5.000000,19507.296875
4,32,5.000000,23122.802734
4,39,5.000000,20298.947266
4,40,5.000000,14386.208984
4,41,5.000000,43375.804688
4,42,5.000000,14630.138672
4,44,5.000000,10081.565430
4,46,5.000000,22527.277344
4,47,5.000000,11149.541016
4,48,5.000000,14373.912109
4,50,5.000000,14674.000977
4,52,5.000000,45587.648438
4,56,5.000000,14058.992188
4,57,5.000000,8013.395020
4,61,5.000000,15501.738281
4,63,5.000000,12812.946289
4,64,5.000000,32018.339844
4,66,5.000000,22572.562500
4,68,5.000000,24389.523438
4,70,5.000000,24671.085938
4,71,5.000000,7331.541504
4,72,5.000000,8371.166016
4,77,5.000000,24960.716797
4,78,5.000000,27380.314453
4,79,5.000000,23803.800781
4,80,5.000000,22606.607422
4,81,5.000000,9286.371094
4,87,5.000000,23869.900391
4,88,5.000000,27943.562500
4,89,5.000000,15871.787109
4,91,5.000000,16436.269531
4,93,5.000000,21224.609375
4,95,5.000000,16478.832031
4,96,5.000000,8267.462891
4,97,5.000000,6938.010254
4,98,5.000000,5254.159180
4,99,5.000000,29065.292969
5,1,5.000000,28072.361328
5,3,5.000000,23354.851562
5,5,5.000000,23958.396484
5,6,5.000000,21592.291016
5,7,5.000000,11780.899414
5,8,5.000000,14817.216797
5,9,5.000000,29165.869141
5,11,5.000000,9838.849609
5,12,5.000000,4213.158203
5,15,5.000000,16130.035156
5,18,5.000000,36853.289062
5,20,5.000000,53082.867188
5,26,5.000000,24572.535156
5,29,5.000000,20693.894531
5,32,5.000000,25603.392578
5,35,5.000000,15969.572266
5,36,5.000000,18537.765625
5,37,5.000000,29812.191406
5,38,5.000000,4965.964355
5,39,5.000000,9849.081055
5,40,5.000000,34186.367188
5,42,5.000000,41425.171875
5,43,5.000000,12851.363281
5,46,5.000000,42108.558594
5,47,5.000000,36290.972656
5,48,5.000000,26055.224609
5,49,5.000000,32464.748047
5,50,5.000000,7975.103516
5,52,5.000000,31753.656250
5,54,5.000000,32382.941406
5,55,5.000000,17191.882812
5,56,5.000000,18889.027344
5,57,5.000000,9109.607422
5,59,5.000000,10800.564453
5,60,5.000000,25988.605469
5,63,5.000000,30741.519531
5,67,5.000000,61367.230469
5,68,5.000000,25327.476562
5,69,5.000000,27455.289062
5,70,5.000000,31124.615234
5,72,5.000000,22726.736328
5,74,5.000000,22769.968750
5,77,5.000000,16667.328125
5,78,5.000000,10336.702148
5,79,5.000000,3297.878174
5,80,5.000000,4424.241699
5,81,5.000000,16405.900391
5,82,5.000000,14846.517578
5,87,5.000000,9770.955078
5,89,5.000000,30534.326172
5,90,5.000000,14898.850586
5,91,5.000000,13740.466797
5,93,5.000000,15663.814453
5,97,5.000000,30544.335938
5,98,5.000000,31726.630859
5,99,5.000000,27121.572266
6,1,5.000000,6414.816895
6,2,5.000000,7182.631348
6,3,5.000000,10981.042969
6,10,5.000000,6567.901367
6,11,5.000000,8909.011719
6,15,5.000000,7261.658203
6,19,5.000000,7939.038574
6,26,5.000000,10065.587891
6,27,5.000000,6212.495117
6,30,5.000000,7617.316895
6,31,5.000000,6793.129883
6,32,5.000000,10507.279297
6,35,5.000000,8366.786133
6,38,5.000000,7312.722168
6,41,5.000000,3139.440186
6,42,5.000000,9777.612305
6,43,5.000000,9812.308594
6,45,5.000000,7344.331543
6,47,5.000000,12232.781250
6,51,5.000000,4050.519287
6,56,5.000000,8757.231445
6,57,5.000000,10777.190430
6,59,5.000000,6395.841797
6,60,5.000000,8251.962891
6,61,5.000000,4413.363281
6,65,5.000000,4223.854492
6,66,5.000000,7310.809082
6,68,5.000000,9607.193359
6,72,5.000000,5603.921875
6,73,5.000000,10443.778320
6,74,5.000000,7315.205078
6,82,5.000000,4068.256104
6,86,5.000000,1962.844971
6,88,5.000000,9731.039062
6,89,5.000000,3015.504150
6,90,5.000000,2695.423828
6,92,5.000000,4041.141602
6,94,5.000000,9882.269531
6,95,5.000000,2761.688965
6,96,5.000000,7904.180664
6,100,5.000000,12521.994141
