event_id,summary_id,sidx,loss
26,1,-1,659.208008
26,1,1,1073.532227
26,1,3,8450.153320
26,1,4,703.240723
26,1,7,13969.451172
26,1,8,8963.456055
26,1,9,1516.467285
26,1,10,6048.937500
26,1,12,785.116211
26,1,13,8328.531250
26,1,15,60.422852
26,1,16,2406.036621
26,1,18,2373.378174
26,1,19,5226.394531
26,1,20,12282.398438
26,1,22,13437.652344
26,1,23,1047.036133
26,1,25,8843.794922
26,1,26,2447.595215
26,1,27,347.085693
26,1,28,1831.792969
26,1,29,2344.512451
26,1,30,854.931152
26,1,31,1137.718750
26,1,32,17581.656250
26,1,33,14480.473633
26,1,35,1647.372070
26,1,36,1201.815918
26,1,37,1678.047852
26,1,40,1126.272461
26,1,41,54.973145
26,1,42,19867.658203
26,1,44,1127.436035
26,1,48,7664.631836
26,1,49,140.804199
26,1,50,711.031250
26,1,51,52045.601562
26,1,52,1675.168457
26,1,54,4302.648438
26,1,57,351.879395
26,1,59,7916.693848
26,1,60,23247.746094
26,1,63,1886.817139
26,1,64,3338.614746
26,1,65,734.323730
26,1,66,2381.259277
26,1,67,20007.234375
26,1,68,20730.324219
26,1,69,1088.822266
26,1,70,12409.093750
26,1,71,375.027344
26,1,72,6308.898438
26,1,73,22638.332031
26,1,74,1733.793457
26,1,75,8482.052734
26,1,77,4292.567383
26,1,78,465.914795
26,1,82,3548.973389
26,1,83,46.707031
26,1,86,7977.598633
26,1,88,2907.937500
26,1,89,8445.468750
26,1,90,1828.970337
26,1,91,3914.871826
26,1,92,2465.106201
26,1,93,864.121094
26,1,97,1163.272949
26,1,98,6936.463379
26,1,99,1031.901855
26,1,100,4984.192871
42,1,-1,8615.680664
42,1,1,31583.007812
42,1,2,15072.718750
42,1,3,1803.346436
42,1,4,38083.687500
42,1,5,10730.697266
42,1,6,5085.700195
42,1,8,60995.023438
42,1,9,46479.523438
42,1,10,15470.865234
42,1,11,15399.309570
42,1,12,56671.562500
42,1,13,36264.039062
42,1,15,3442.321777
42,1,17,10162.802734
42,1,18,28111.007812
42,1,19,52071.515625
42,1,20,22826.326172
42,1,21,47972.273438
42,1,22,9709.544922
42,1,23,29742.687500
