Summary_id,type, return_period, Loss_mean
1, 1, 10000.000000,9763.558594
1, 1, 5000.000000,7248.250488
1, 1, 3333.333252,6734.228027
1, 1, 2500.000000,6572.628418
1, 1, 2000.000000,6572.628418
1, 1, 1666.666626,6501.084961
1, 1, 1428.571411,6498.389648
1, 1, 1250.000000,6304.017090
1, 1, 1111.111084,6158.062988
1, 1, 1000.000000,5901.612793
1, 1, 909.090881,5760.388672
1, 1, 833.333313,5510.054688
1, 1, 769.230774,5446.981445
1, 1, 714.285706,5287.234863
1, 1, 666.666687,5203.062500
1, 1, 625.000000,5199.801758
1, 1, 588.235291,5065.527832
1, 1, 555.555542,5064.839355
1, 1, 526.315796,5039.746094
1, 1, 500.000000,5039.053223
1, 1, 476.190491,5004.788086
1, 1, 454.545441,4994.166016
1, 1, 434.782623,4967.476562
1, 1, 416.666656,4962.146973
1, 1, 400.000000,4960.151855
1, 1, 384.615387,4936.395020
1, 1, 370.370361,4932.308105
1, 1, 357.142853,4926.055664
1, 1, 344.827576,4892.884277
1, 1, 333.333344,4831.764648
1, 1, 322.580658,4828.188477
1, 1, 312.500000,4815.450684
1, 1, 303.030304,4762.315918
1, 1, 294.117645,4761.666504
1, 1, 285.714294,4754.888672
1, 1, 277.777771,4751.499023
1, 1, 270.270264,4727.904785
1, 1, 263.157898,4726.471191
1, 1, 256.410248,4718.272461
1, 1, 250.000000,4692.470215
1, 1, 243.902435,4689.010742
1, 1, 238.095245,4283.210449
1, 1, 232.558136,4227.170898
1, 1, 227.272720,3878.638184
1, 1, 222.222229,3598.296631
1, 1, 217.391312,3177.950439
1, 1, 212.765961,2914.425537
1, 1, 208.333328,2583.666504
1, 1, 204.081635,2352.916992
1, 1, 200.000000,2335.745361
1, 1, 196.078430,2246.488037
1, 1, 192.307693,2217.128174
1, 1, 188.679245,2140.089355
1, 1, 185.185181,2096.377197
1, 1, 181.818176,1872.319336
1, 1, 178.571426,1766.835327
1, 1, 175.438599,1495.708130
1, 1, 172.413788,1468.628784
1, 1, 169.491531,1439.738159
1, 1, 166.666672,1411.952026
1, 1, 163.934433,1097.700806
1, 1, 161.290329,886.606934
1, 1, 158.730164,809.433838
1, 1, 156.250000,389.277191
1, 1, 153.846161,359.397369
1, 1, 151.515152,285.671326
1, 1, 149.253738,276.425079
1, 1, 147.058823,275.126526
1, 1, 144.927536,236.908737
1, 1, 142.857147,170.700058
1, 1, 140.845078,36.630653
1, 1, 138.888885,16.036978
1, 1, 136.986298,6.872998
1, 2, 10000.000000,9101.296875
1, 2, 5000.000000,8316.212891
1, 2, 3333.333252,7602.407227
1, 2, 2500.000000,7291.020508
1, 2, 2000.000000,6931.853027
1, 2, 1666.666626,6561.488770
1, 2, 1428.571411,6328.268066
1, 2, 1250.000000,6287.199219
1, 2, 1111.111084,6261.389160
1, 2, 1000.000000,6212.823730
1, 2, 909.090881,6147.750977
1, 2, 833.333313,6074.607910
1, 2, 769.230774,6032.436523
1, 2, 714.285706,5941.858398
1, 2, 666.666687,5940.248047
1, 2, 625.000000,5787.713867
1, 2, 588.235291,5558.912109
1, 2, 555.555542,5334.571777
1, 2, 526.315796,5328.333008
1, 2, 500.000000,5307.171387
1, 2, 476.190491,5299.628906
1, 2, 454.545441,5169.438477
1, 2, 434.782623,5123.390625
1, 2, 416.666656,5030.664062
1, 2, 400.000000,4989.377930
1, 2, 384.615387,4804.830078
1, 2, 370.370361,4794.669434
1, 2, 357.142853,4790.062500
1, 2, 344.827576,4742.984863
1, 2, 333.333344,4722.711914
1, 2, 322.580658,4678.607910
1, 2, 312.500000,4385.715332
1, 2, 303.030304,4385.188965
1, 2, 294.117645,4315.900391
1, 2, 285.714294,4232.857910
1, 2, 277.777771,4219.342773
