Summary_id, type, event_id, mean, standard_deviation, exposure_value
1, 1, 26, 659.208008, 0, 1290140.375000
1, 2, 26, 4142.901367, 7407.469238, 1290140.375000
1, 1, 42, 8615.680664, 0, 1661872.250000
1, 2, 42, 27021.310547, 23449.056641, 1661872.250000
1, 1, 56, 2936.415527, 0, 592438.687500
1, 2, 56, 8953.581055, 11398.793945, 592438.687500
1, 1, 93, 4982.545898, 0, 1131867.250000
1, 2, 93, 9409.103516, 11944.885742, 1131867.250000
1, 1, 119, 11071.846680, 0, 1485837.000000
1, 2, 119, 18810.888672, 18381.953125, 1485837.000000
1, 1, 125, 0.000000, 0, 507725.062500
1, 2, 125, 1387.175049, 7205.983887, 507725.062500
1, 1, 138, 0.000000, 0, 1043183.750000
1, 2, 138, 4059.877930, 6794.021484, 1043183.750000
1, 1, 139, 0.000000, 0, 507725.062500
1, 2, 139, 1503.144043, 7537.671387, 507725.062500
1, 1, 153, 0.000000, 0, 283423.593750
1, 2, 153, 818.480408, 7814.237793, 283423.593750
1, 1, 163, 0.000000, 0, 333482.000000
1, 2, 163, 0.000000, 0.000000, 333482.000000
1, 1, 165, 0.000000, 0, 567658.625000
1, 2, 165, 2746.309082, 5795.922852, 567658.625000
1, 1, 179, 0.000000, 0, 211595.375000
1, 2, 179, 0.000000, 0.000000, 211595.375000
1, 1, 198, 0.000000, 0, 691451.687500
1, 2, 198, 0.000000, 0.000000, 691451.687500
1, 1, 217, 0.000000, 0, 1276143.625000
1, 2, 217, 4830.580566, 8976.308594, 1276143.625000
1, 1, 240, 6751.143066, 0, 1485837.000000
1, 2, 240, 14485.952148, 17901.019531, 1485837.000000
1, 1, 262, 0.000000, 0, 1043183.750000
1, 2, 262, 6608.909180, 11063.324219, 1043183.750000
1, 1, 270, 0.000000, 0, 691451.687500
1, 2, 270, 143.208130, 940.702393, 691451.687500
1, 1, 283, 0.000000, 0, 768165.312500
1, 2, 283, 3681.431152, 4972.355469, 768165.312500
1, 1, 284, 0.000000, 0, 254160.156250
