summary_id,return_period,loss
1,1000000.000000,52559.050781
1,500000.000000,51428.777344
1,333333.343750,47348.816406
1,250000.000000,45369.863281
1,200000.000000,44334.988281
1,166666.671875,43147.273438
1,142857.140625,42432.882812
1,125000.000000,41479.011719
1,111111.109375,41346.574219
1,100000.000000,41198.761719
1,90909.093750,39915.570312
1,83333.335938,39670.089844
1,76923.078125,39611.554688
1,71428.570312,39553.109375
1,66666.664062,39036.437500
1,62500.000000,38714.550781
1,58823.531250,38532.449219
1,55555.554688,37925.187500
1,52631.578125,37741.023438
1,50000.000000,37384.074219
1,47619.046875,37303.417969
1,45454.546875,37052.417969
1,43478.261719,36311.171875
1,41666.667969,36174.132812
1,40000.000000,35720.128906
1,38461.539062,35482.437500
1,37037.035156,35214.351562
1,35714.285156,35149.316406
1,34482.757812,34691.425781
1,33333.332031,34636.347656
1,32258.064453,34626.789062
1,31250.000000,34599.410156
1,30303.031250,34533.261719
1,29411.765625,34480.875000
1,28571.427734,34323.808594
1,27777.777344,34238.332031
1,27027.027344,34208.453125
1,26315.789062,34123.125000
1,25641.025391,33934.472656
1,25000.000000,33928.640625
1,24390.244141,33744.765625
1,23809.523438,33706.441406
1,23255.814453,33360.109375
1,22727.273438,33343.449219
1,22222.222656,33281.015625
1,21739.130859,33201.609375
1,21276.595703,33182.386719
1,20833.333984,32918.359375
1,20408.164062,32757.175781
1,20000.000000,32557.312500
1,19607.843750,32492.326172
1,19230.769531,32470.662109
1,18867.923828,32462.416016
1,18518.517578,32226.486328
1,18181.818359,32205.535156
1,17857.142578,32192.884766
1,17543.859375,32190.365234
1,17241.378906,32065.501953
1,16949.152344,31984.292969
1,16666.666016,31962.552734
1,16393.443359,31724.410156
1,16129.032227,31718.777344
1,15873.015625,31542.986328
1,15625.000000,31472.177734
1,15384.615234,31460.681641
1,15151.515625,31409.718750
1,14925.373047,31293.599609
1,14705.882812,31280.460938
1,14492.753906,31240.572266
1,14285.713867,30982.482422
1,14084.506836,30968.746094
1,13888.888672,30938.339844
1,13698.629883,30475.175781
1,13513.513672,30406.625000
1,13333.333008,30361.728516
1,13157.894531,30360.857422
1,12987.012695,30297.003906
1,12820.512695,30222.582031
1,12658.227539,30197.052734
1,12500.000000,29839.322266
1,12345.678711,29761.128906
1,12195.122070,29622.869141
1,12048.192383,29512.726562
1,11904.761719,29487.560547
1,11764.706055,29401.105469
1,11627.907227,29382.640625
1,11494.252930,29357.656250
1,11363.636719,29149.130859
1,11235.955078,29122.886719
1,11111.111328,29077.029297
1,10989.010742,29021.189453
1,10869.565430,29004.384766
1,10752.688477,28948.722656
1,10638.297852,28721.458984
1,10526.315430,28580.619141
1,10416.666992,28579.568359
1,10309.278320,28361.863281
1,10204.082031,28208.005859
1,10101.009766,28151.236328
1,10000.000000,28141.421875
1,9900.990234,28064.103516
1,9803.921875,27788.648438
1,9708.738281,27743.458984
1,9615.384766,27674.246094
1,9523.809570,27671.644531
1,9433.961914,27633.046875
1,9345.793945,27555.263672
1,9259.258789,27494.533203
1,9174.311523,27454.794922
1,9090.909180,27399.255859
1,9009.008789,27292.255859
1,8928.571289,27142.283203
1,8849.557617,27077.121094
1,8771.929688,27004.462891
1,8695.652344,26970.181641
1,8620.689453,26686.626953
1,8547.008789,26686.152344
1,8474.576172,26656.800781
1,8403.361328,26630.302734
1,8333.333008,26601.554688
1,8264.462891,26590.089844
1,8196.721680,26570.867188
1,8130.081543,26550.277344
1,8064.516113,26363.628906
1,8000.000000,26358.576172
1,7936.507812,26261.955078
1,7874.015625,26207.519531
1,7812.500000,26195.386719
1,7751.937988,26057.287109
1,7692.307617,26048.818359
1,7633.587891,25949.628906
1,7575.757812,25941.615234
1,7518.796875,25901.562500
1,7462.686523,25874.160156
1,7407.407227,25778.156250
1,7352.941406,25763.332031
1,7299.270020,25745.558594
1,7246.376953,25714.542969
1,7194.244629,25665.921875
1,7142.856934,25652.580078
1,7092.198730,25646.525391
1,7042.253418,25626.919922
1,6993.006836,25615.664062
