Summary_id, return_period, Loss
1, 10000.000000,67164.375000
1, 5000.000000,54419.328125
1, 3333.333252,52233.230469
1, 2500.000000,50780.281250
1, 2000.000000,50119.882812
1, 1666.666626,49394.738281
1, 1428.571411,47020.683594
1, 1250.000000,46961.289062
1, 1111.111084,45409.867188
1, 1000.000000,45210.042969
1, 909.090881,45046.351562
1, 833.333313,43427.234375
1, 769.230774,43279.593750
1, 714.285706,43244.292969
1, 666.666687,42982.863281
1, 625.000000,42764.500000
1, 588.235291,42751.140625
1, 555.555542,42673.113281
1, 526.315796,42636.886719
1, 500.000000,42627.941406
1, 476.190491,42595.656250
1, 454.545441,42572.484375
1, 434.782623,42369.855469
1, 416.666656,42140.820312
1, 400.000000,41763.910156
1, 384.615387,41667.406250
1, 370.370361,41526.625000
1, 357.142853,41458.210938
1, 344.827576,41358.550781
1, 333.333344,41167.519531
1, 322.580658,40309.179688
1, 312.500000,40245.445312
1, 303.030304,40171.863281
1, 294.117645,40127.613281
1, 285.714294,40076.867188
1, 277.777771,39952.750000
1, 270.270264,38983.718750
1, 263.157898,38699.531250
1, 256.410248,38617.121094
1, 250.000000,38523.269531
1, 243.902435,38342.093750
1, 238.095245,38188.226562
1, 232.558136,37984.089844
1, 227.272720,37496.949219
1, 222.222229,37325.914062
1, 217.391312,36808.578125
1, 212.765961,36804.289062
1, 208.333328,36610.226562
1, 204.081635,36227.222656
1, 200.000000,36179.000000
1, 196.078430,35996.777344
1, 192.307693,35992.765625
1, 188.679245,35925.507812
1, 185.185181,35865.812500
1, 181.818176,35799.265625
1, 178.571426,35717.761719
1, 175.438599,35562.316406
1, 172.413788,35455.593750
1, 169.491531,35072.449219
1, 166.666672,35071.144531
1, 163.934433,34831.839844
1, 161.290329,34714.992188
1, 158.730164,34705.035156
1, 156.250000,34545.261719
1, 153.846161,34490.855469
1, 151.515152,34392.089844
1, 149.253738,34380.355469
1, 147.058823,34293.480469
1, 144.927536,34264.109375
1, 142.857147,34242.980469
1, 140.845078,34132.722656
1, 138.888885,34076.984375
1, 136.986298,33979.464844
1, 135.135132,33973.707031
1, 133.333328,33722.605469
1, 131.578949,33382.441406
1, 129.870132,32997.187500
1, 128.205124,32704.451172
1, 126.582275,32659.185547
1, 125.000000,32598.707031
1, 123.456787,32518.666016
1, 121.951218,32268.156250
1, 120.481926,32078.093750
1, 119.047623,31918.666016
1, 117.647057,31917.449219
1, 116.279068,31863.271484
1, 114.942528,31780.867188
1, 113.636360,31543.388672
1, 112.359550,31508.722656
1, 111.111115,31469.259766
1, 109.890106,31437.728516
1, 108.695656,30983.287109
1, 107.526878,30632.992188
1, 106.382980,30624.216797
1, 105.263161,30393.261719
1, 104.166664,30390.287109
1, 103.092781,30177.291016
1, 102.040817,30111.685547
1, 101.010101,29842.134766
1, 100.000000,29675.541016
1, 99.009903,29663.382812
1, 98.039215,29649.835938
1, 97.087379,29569.970703
1, 96.153847,29415.498047
1, 95.238098,29307.611328
1, 94.339622,29286.390625
1, 93.457947,29262.406250
1, 92.592590,29239.681641
1, 91.743118,29234.986328
1, 90.909088,29159.992188
1, 90.090088,29057.171875
1, 89.285713,28944.039062
1, 88.495575,28844.564453
1, 87.719299,28652.236328
1, 86.956520,28609.994141
1, 86.206894,28552.818359
1, 85.470085,28518.314453
1, 84.745766,28450.298828
1, 84.033615,28320.892578
1, 83.333336,28318.150391
1, 82.644630,28151.822266
1, 81.967216,28100.945312
1, 81.300812,27963.828125
1, 80.645164,27905.871094
1, 80.000000,27747.525391
1, 79.365082,27712.058594
1, 78.740158,27331.224609
1, 78.125000,27239.210938
1, 77.519379,27182.324219
1, 76.923080,27154.376953
1, 76.335876,27054.183594
1, 75.757576,27023.199219
1, 75.187973,27022.509766
1, 74.626869,26915.703125
1, 74.074074,26847.615234
1, 73.529411,26831.935547
1, 72.992699,26791.765625
1, 72.463768,26715.921875
1, 71.942444,26622.183594
1, 71.428574,26491.667969
1, 70.921989,26489.410156
1, 70.422539,26395.021484
1, 69.930069,26346.242188
1, 69.444443,26282.580078
1, 68.965515,26209.845703
1, 68.493149,26079.095703
1, 68.027214,26039.089844
1, 67.567566,25933.046875
1, 67.114098,25881.595703
1, 66.666664,25850.998047
1, 66.225166,25708.808594
1, 65.789474,25648.671875
1, 65.359474,25592.433594
1, 64.935066,25546.773438
1, 64.516129,25534.291016
1, 64.102562,25505.371094
1, 63.694267,25417.205078
1, 63.291138,25289.082031
1, 62.893082,25196.126953
1, 62.500000,25175.078125
1, 62.111801,25163.175781
1, 61.728394,25081.625000
1, 61.349693,24983.119141
1, 60.975609,24862.847656
1, 60.606060,24797.849609
1, 60.240963,24793.896484
1, 59.880241,24790.775391
1, 59.523811,24773.263672
1, 59.171597,24765.087891
1, 58.823528,24743.431641
1, 58.479530,24738.771484
1, 58.139534,24732.119141
1, 57.803467,24705.693359
1, 57.471264,24593.388672
1, 57.142857,24582.968750
1, 56.818180,24578.585938
1, 56.497173,24540.033203
1, 56.179775,24537.007812
1, 55.865921,24430.228516
1, 55.555557,24416.505859
1, 55.248619,24404.705078
1, 54.945053,24366.117188
1, 54.644810,24354.042969
1, 54.347828,24339.052734
1, 54.054054,24322.773438
1, 53.763439,24304.246094
1, 53.475937,24286.029297
1, 53.191490,24138.742188
1, 52.910053,24094.292969
1, 52.631580,24090.132812
1, 52.356022,24034.789062
1, 52.083332,23972.750000
1, 51.813473,23644.546875
1, 51.546391,23573.085938
1, 51.282051,23490.109375
1, 51.020409,23384.343750
1, 50.761421,23218.050781
1, 50.505051,23154.667969
1, 50.251255,23151.193359
1, 50.000000,23027.710938
1, 49.751244,22967.761719
1, 49.504951,22878.339844
1, 49.261086,22853.572266
1, 49.019608,22739.738281
1, 48.780487,22694.330078
1, 48.543690,22639.974609
1, 48.309177,22604.105469
1, 48.076923,22590.503906
1, 47.846889,22544.398438
1, 47.619049,22481.373047
1, 47.393364,22480.984375
1, 47.169811,22437.115234
1, 46.948357,22429.218750
1, 46.728973,22428.675781
1, 46.511627,22380.273438
1, 46.296295,22296.501953
1, 46.082951,22243.050781
1, 45.871559,22216.884766
1, 45.662102,22121.511719
1, 45.454544,22117.257812
1, 45.248867,22115.988281
1, 45.045044,22013.101562
1, 44.843048,22003.679688
1, 44.642857,21995.537109
1, 44.444443,21981.570312
1, 44.247787,21974.458984
1, 44.052864,21946.351562
1, 43.859650,21925.867188
1, 43.668121,21875.082031
1, 43.478260,21825.191406
1, 43.290043,21780.195312
1, 43.103447,21771.593750
1, 42.918453,21688.558594
1, 42.735043,21667.646484
1, 42.553192,21650.906250
1, 42.372883,21636.808594
1, 42.194092,21588.371094
1, 42.016808,21585.273438
1, 41.841003,21577.189453
1, 41.666668,21555.337891
1, 41.493774,21546.347656
1, 41.322315,21422.189453
1, 41.152264,21413.523438
1, 40.983608,21389.882812
1, 40.816326,21328.931641
1, 40.650406,21277.732422
1, 40.485828,21277.458984
1, 40.322582,21240.779297
1, 40.160641,21228.179688
1, 40.000000,21215.972656
1, 39.840637,21156.558594
1, 39.682541,21144.029297
1, 39.525692,21082.458984
1, 39.370079,21007.617188
1, 39.215687,20979.673828
1, 39.062500,20978.203125
1, 38.910507,20964.205078
1, 38.759689,20921.492188
1, 38.610039,20914.828125
1, 38.461540,20910.218750
1, 38.314175,20899.574219
1, 38.167938,20886.144531
1, 38.022812,20848.369141
1, 37.878788,20831.855469
1, 37.735847,20779.167969
1, 37.593987,20757.421875
1, 37.453182,20721.343750
1, 37.313435,20720.787109
1, 37.174721,20714.843750
1, 37.037037,20703.394531
1, 36.900368,20699.337891
1, 36.764706,20697.964844
1, 36.630035,20685.351562
1, 36.496349,20632.416016
1, 36.363636,20606.712891
1, 36.231884,20602.101562
1, 36.101082,20595.675781
1, 35.971222,20595.585938
1, 35.842293,20577.712891
1, 35.714287,20557.484375
1, 35.587189,20541.638672
1, 35.460995,20540.376953
1, 35.335690,20500.664062
1, 35.211269,20458.707031
1, 35.087719,20456.833984
1, 34.965034,20443.072266
1, 34.843204,20404.761719
1, 34.722221,20379.398438
1, 34.602077,20333.927734
1, 34.482758,20333.304688
1, 34.364262,20319.919922
1, 34.246574,20317.117188
1, 34.129692,20285.019531
1, 34.013607,20277.460938
1, 33.898304,20261.812500
1, 33.783783,20221.945312
1, 33.670033,20142.562500
1, 33.557049,20122.623047
1, 33.444817,20106.019531
1, 33.333332,20060.644531
1, 33.222591,20050.716797
1, 33.112583,19963.671875
1, 33.003300,19947.093750
1, 32.894737,19929.785156
1, 32.786884,19925.109375
1, 32.679737,19919.986328
1, 32.573292,19895.455078
1, 32.467533,19863.490234
1, 32.362461,19825.636719
1, 32.258064,19821.958984
1, 32.154343,19764.732422
1, 32.051281,19755.748047
1, 31.948881,19742.560547
1, 31.847134,19739.912109
1, 31.746031,19731.714844
1, 31.645569,19710.531250
1, 31.545742,19683.009766
1, 31.446541,19659.076172
1, 31.347963,19656.101562
1, 31.250000,19650.431641
1, 31.152649,19628.599609
1, 31.055901,19605.371094
1, 30.959753,19552.894531
1, 30.864197,19550.279297
1, 30.769230,19542.205078
1, 30.674847,19495.767578
1, 30.581039,19423.845703
1, 30.487804,19399.199219
1, 30.395136,19387.310547
1, 30.303030,19350.511719
1, 30.211481,19309.951172
1, 30.120481,19304.636719
1, 30.030029,19251.806641
1, 29.940121,19248.839844
1, 29.850746,19215.689453
1, 29.761906,19175.570312
1, 29.673590,19173.324219
1, 29.585798,19157.949219
1, 29.498526,19127.482422
1, 29.411764,19121.613281
1, 29.325514,19104.783203
1, 29.239765,19072.406250
1, 29.154518,19059.689453
1, 29.069767,19019.640625
1, 28.985508,19008.828125
1, 28.901733,18992.406250
1, 28.818443,18976.070312
1, 28.735632,18924.408203
1, 28.653296,18914.388672
1, 28.571428,18870.568359
1, 28.490028,18860.851562
1, 28.409090,18855.328125
1, 28.328611,18845.443359
1, 28.248587,18835.541016
1, 28.169014,18833.125000
1, 28.089888,18763.412109
1, 28.011204,18701.828125
1, 27.932961,18677.699219
1, 27.855154,18659.242188
1, 27.777779,18654.433594
1, 27.700830,18650.447266
1, 27.624310,18649.992188
1, 27.548210,18599.335938
1, 27.472527,18533.423828
1, 27.397261,18522.582031
1, 27.322405,18506.783203
1, 27.247957,18499.083984
1, 27.173914,18485.226562
1, 27.100271,18457.332031
1, 27.027027,18429.806641
1, 26.954178,18400.673828
1, 26.881720,18395.869141
1, 26.809652,18395.357422
1, 26.737968,18355.494141
1, 26.666666,18337.843750
1, 26.595745,18323.558594
1, 26.525200,18321.832031
1, 26.455027,18279.958984
1, 26.385223,18273.269531
1, 26.315790,18272.253906
1, 26.246719,18121.195312
1, 26.178011,18108.421875
1, 26.109661,18105.376953
1, 26.041666,18074.738281
1, 25.974026,18072.888672
1, 25.906736,18047.929688
1, 25.839794,18028.695312
1, 25.773195,18014.976562
1, 25.706942,17989.810547
1, 25.641026,17987.322266
1, 25.575447,17974.451172
1, 25.510204,17958.431641
1, 25.445293,17950.582031
1, 25.380711,17919.087891
1, 25.316456,17892.222656
1, 25.252525,17844.798828
1, 25.188917,17836.111328
1, 25.125628,17819.552734
1, 25.062656,17811.099609
1, 25.000000,17799.097656
1, 24.937656,17794.164062
1, 24.875622,17754.875000
1, 24.813896,17752.652344
1, 24.752476,17751.568359
1, 24.691359,17738.781250
1, 24.630543,17730.988281
1, 24.570024,17702.378906
1, 24.509804,17695.789062
1, 24.449879,17689.128906
1, 24.390244,17670.673828
1, 24.330900,17660.695312
1, 24.271845,17650.371094
1, 24.213076,17637.824219
1, 24.154589,17630.832031
1, 24.096386,17622.359375
1, 24.038462,17620.615234
1, 23.980816,17602.166016
1, 23.923445,17582.060547
1, 23.866348,17565.427734
1, 23.809525,17565.185547
1, 23.752970,17558.353516
1, 23.696682,17539.552734
1, 23.640661,17534.875000
1, 23.584906,17467.199219
1, 23.529411,17459.679688
1, 23.474178,17457.572266
1, 23.419203,17422.703125
1, 23.364487,17411.869141
1, 23.310024,17399.021484
1, 23.255814,17359.833984
1, 23.201857,17354.658203
1, 23.148148,17349.398438
1, 23.094688,17337.828125
1, 23.041475,17333.353516
1, 22.988506,17298.849609
1, 22.935780,17269.958984
1, 22.883295,17253.521484
1, 22.831051,17210.417969
1, 22.779043,17183.605469
1, 22.727272,17175.287109
1, 22.675737,17161.111328
1, 22.624434,17148.341797
1, 22.573364,17092.587891
1, 22.522522,17087.833984
1, 22.471910,17085.966797
1, 22.421524,17075.207031
1, 22.371365,17061.853516
1, 22.321428,17060.361328
1, 22.271715,17034.537109
1, 22.222221,17023.441406
1, 22.172949,17004.371094
1, 22.123894,16957.011719
1, 22.075056,16905.945312
1, 22.026432,16856.859375
1, 21.978022,16821.509766
1, 21.929825,16810.890625
1, 21.881838,16809.761719
1, 21.834061,16773.572266
1, 21.786493,16728.427734
1, 21.739130,16721.699219
1, 21.691975,16713.718750
1, 21.645021,16713.332031
