summary_id,type,event_id,mean,standard_deviation,exposure_value
2,2,100136,844.169006,1724.044312,109060.343750
1,1,100175,0.000000,0,124399.507812
1,2,100175,0.000000,0.000000,124399.507812
2,1,100175,0.000000,0,209082.500000
2,2,100175,0.000000,0.000000,209082.500000
1,1,100211,8963.787109,0,695932.062500
1,2,100211,12708.938477,8370.130859,695932.062500
2,1,100211,16689.644531,0,1161636.750000
2,2,100211,22919.009766,13969.833008,1161636.750000
1,1,100221,0.000000,0,390537.656250
1,2,100221,2085.528076,3420.819824,390537.656250
2,1,100221,0.000000,0,652646.062500
2,2,100221,4432.626465,6228.279785,652646.062500
1,1,100228,0.000000,0,305845.593750
1,2,100228,6.515403,62.243359,305845.593750
2,1,100228,0.000000,0,511492.656250
2,2,100228,77.163300,367.748505,511492.656250
1,1,100257,0.000000,0,25767.595703
1,2,100257,69.162376,356.624237,25767.595703
2,1,100257,0.000000,0,44695.992188
2,2,100257,354.215393,993.013306,44695.992188
1,1,100260,0.000000,0,258638.140625
1,2,100260,0.000000,0.000000,258638.140625
2,1,100260,0.000000,0,432813.562500
2,2,100260,0.000000,0.000000,432813.562500
1,1,100292,0.000000,0,78360.000000
1,2,100292,0.000000,0.000000,78360.000000
2,1,100292,0.000000,0,132350.000000
2,2,100292,0.000000,0.000000,132350.000000
1,1,200033,0.000000,0,78360.000000
1,2,200033,0.000000,0.000000,78360.000000
2,1,200033,0.000000,0,132350.000000
2,2,200033,0.000000,0.000000,132350.000000
1,1,200041,0.000000,0,94653.812500
1,2,200041,860.586853,1828.712646,94653.812500
2,1,200041,0.000000,0,159506.343750
2,2,200041,2168.152588,3581.423828,159506.343750
1,1,200098,0.000000,0,390537.656250
1,2,200098,932.977783,2321.064453,390537.656250
2,1,200098,0.000000,0,652646.062500
2,2,200098,2041.240601,4417.003418,652646.062500
1,1,200122,0.000000,0,390537.656250
1,2,200122,2568.602295,4239.324707,390537.656250
2,1,200122,0.000000,0,652646.062500
2,2,200122,5236.278320,7584.805176,652646.062500
1,1,200158,0.000000,0,390537.656250
1,2,200158,2189.342285,3294.567139,390537.656250
2,1,200158,0.000000,0,652646.062500
2,2,200158,4680.076172,6010.658203,652646.062500
1,1,200162,0.000000,0,323140.125000
1,2,200162,566.112732,1574.833374,323140.125000
2,1,200162,0.000000,0,540316.875000
2,2,200162,1536.227539,3113.001709,540316.875000
1,1,200190,0.000000,0,124399.507812
1,2,200190,0.000000,0.000000,124399.507812
2,1,200190,0.000000,0,209082.500000
2,2,200190,0.000000,0.000000,209082.500000
1,1,200196,0.000000,0,189740.656250
1,2,200196,662.740234,3092.953613,189740.656250
2,1,200196,0.000000,0,317984.406250
2,2,200196,1221.760498,5513.937012,317984.406250
1,1,200306,0.000000,0,258638.140625
1,2,200306,522.798218,1426.998901,258638.140625
2,1,200306,0.000000,0,432813.562500
2,2,200306,1352.476685,2912.172607,432813.562500
1,1,200324,0.000000,0,258638.140625
1,2,200324,749.634033,1531.656616,258638.140625
2,1,200324,0.000000,0,432813.562500
2,2,200324,1871.230103,3162.429199,432813.562500
1,1,200334,0.000000,0,258638.140625
1,2,200334,0.000000,0.000000,258638.140625
2,1,200334,0.000000,0,432813.562500
2,2,200334,0.000000,0.000000,432813.562500
1,1,200341,0.000000,0,124399.507812
1,2,200341,0.000000,0.000000,124399.507812
2,1,200341,0.000000,0,209082.500000
2,2,200341,14.505742,145.057419,209082.500000
1,1,300023,4926.027832,0,695932.062500
1,2,300023,8719.971680,8631.464844,695932.062500
2,1,300023,9960.045898,0,1161636.750000
2,2,300023,16164.867188,14511.911133,1161636.750000
1,1,300033,0.000000,0,390537.656250
1,2,300033,1578.742065,3357.347168,390537.656250
2,1,300033,0.000000,0,652646.062500
2,2,300033,3518.960938,6048.432617,652646.062500
1,1,300037,0.000000,0,124399.507812
1,2,300037,0.000000,0.000000,124399.507812
2,1,300037,0.000000,0,209082.500000
2,2,300037,0.000000,0.000000,209082.500000
1,1,300055,0.000000,0,258638.140625
1,2,300055,65.088829,310.656647,258638.140625
2,1,300055,0.000000,0,432813.562500
2,2,300055,258.232544,911.602783,432813.562500
1,1,300062,0.000000,0,290394.468750
1,2,300062,1139.181274,2074.431152,290394.468750
2,1,300062,319.652588,0,485740.750000
2,2,300062,2950.477295,3908.340088,485740.750000
1,1,300154,0.000000,0,6292.500488
1,2,300154,0.000000,0.000000,6292.500488
2,1,300154,0.000000,0,12237.500000
2,2,300154,0.000000,0.000000,12237.500000
1,1,300170,0.000000,0,390537.656250
1,2,300170,1662.791260,2797.195801,390537.656250
2,1,300170,0.000000,0,652646.062500
2,2,300170,3612.804443,5246.713379,652646.062500
1,1,300185,0.000000,0,64386.207031
1,2,300185,0.000000,0.000000,64386.207031
2,1,300185,0.000000,0,109060.343750
2,2,300185,0.000000,0.000000,109060.343750
1,1,300187,0.000000,0,124399.507812
1,2,300187,0.000000,0.000000,124399.507812
2,1,300187,0.000000,0,209082.500000
2,2,300187,0.000000,0.000000,209082.500000
1,1,300222,554.039978,0,221508.265625
1,2,300222,2300.167236,3081.296143,221508.265625
2,1,300222,2673.399902,0,370930.437500
2,2,300222,5097.542969,5540.659668,370930.437500
1,1,300229,0.000000,0,86861.312500
