summary_id,sidx,return_period,loss
1,-1,10000.000000,8963.787109
1,-1,5000.000000,8064.294922
1,-1,3333.333252,7185.431641
1,-1,2500.000000,6593.483398
1,-1,2000.000000,6116.950195
1,-1,1666.666626,5995.550781
1,-1,1428.571411,5990.278809
1,-1,1250.000000,5568.980957
1,-1,1111.111084,4926.027832
1,-1,1000.000000,4415.094238
1,-1,909.090881,4167.851074
1,-1,833.333313,3974.103027
1,-1,769.230774,3972.744873
1,-1,714.285706,3495.692627
1,-1,666.666687,3436.107666
1,-1,625.000000,2975.749512
1,-1,588.235291,2715.494873
1,-1,555.555542,2574.630371
1,-1,526.315796,2448.787598
1,-1,500.000000,1885.123657
1,-1,476.190491,1877.724365
1,-1,454.545441,1875.428711
1,-1,434.782623,1832.970825
1,-1,416.666656,1682.380981
1,-1,400.000000,1607.207886
1,-1,384.615387,1350.049316
1,-1,370.370361,1271.894531
1,-1,357.142853,1212.204834
1,-1,344.827576,1121.105347
1,-1,333.333344,917.605713
1,-1,322.580658,886.636536
1,-1,312.500000,886.245422
1,-1,303.030304,857.632629
1,-1,294.117645,839.041138
1,-1,285.714294,838.096924
1,-1,277.777771,836.666626
1,-1,270.270264,829.764282
1,-1,263.157898,801.362732
1,-1,256.410248,800.852966
1,-1,250.000000,554.039978
1,-1,243.902435,474.783722
1,-1,238.095245,465.354218
1,-1,232.558136,461.030579
1,-1,227.272720,444.905884
1,-1,222.222229,336.919922
1,-1,217.391312,311.905090
1,-1,212.765961,267.358032
1,-1,208.333328,264.146790
1,-1,204.081635,113.148048
1,1,10000.000000,26915.703125
1,1,5000.000000,19059.689453
1,1,3333.333252,18014.976562
1,1,2500.000000,16510.007812
1,1,2000.000000,12906.007812
1,1,1666.666626,11187.377930
1,1,1428.571411,10630.537109
1,1,1250.000000,9565.141602
1,1,1111.111084,9220.168945
1,1,1000.000000,8702.427734
1,1,909.090881,8585.390625
1,1,833.333313,8422.499023
1,1,769.230774,7893.003906
1,1,714.285706,7806.826660
1,1,666.666687,7667.312012
1,1,625.000000,7496.052246
1,1,588.235291,6847.477539
1,1,555.555542,6055.603516
1,1,526.315796,5966.201172
1,1,500.000000,5937.593262
1,1,476.190491,5725.052734
1,1,454.545441,5668.761719
1,1,434.782623,5400.480469
1,1,416.666656,5297.519531
1,1,400.000000,5057.703613
1,1,384.615387,4589.228027
1,1,370.370361,4362.486328
1,1,357.142853,4173.884766
1,1,344.827576,4095.149658
1,1,333.333344,3751.926758
1,1,322.580658,3699.965088
1,1,312.500000,3429.105713
1,1,303.030304,3393.875488
1,1,294.117645,3327.668213
1,1,285.714294,3129.470703
1,1,277.777771,3021.166992
1,1,270.270264,2921.481201
1,1,263.157898,2898.109131
1,1,256.410248,2852.997803
1,1,250.000000,2606.894287
1,1,243.902435,2567.182129
1,1,238.095245,2473.513672
1,1,232.558136,2466.393799
1,1,227.272720,2338.628906
1,1,222.222229,2330.885254
1,1,217.391312,2173.810059
1,1,212.765961,2104.161377
1,1,208.333328,2063.094238
1,1,204.081635,1977.284302
1,1,200.000000,1951.437378
1,1,196.078430,1839.314087
1,1,192.307693,1628.972534
1,1,188.679245,1602.806885
1,1,185.185181,1579.210083
1,1,181.818176,1470.380615
1,1,178.571426,1392.117188
1,1,175.438599,1217.681885
1,1,172.413788,1092.864868
1,1,169.491531,1087.458496
1,1,166.666672,983.078918
1,1,163.934433,714.009399
1,1,161.290329,590.407043
1,1,158.730164,582.915833
1,1,156.250000,576.699951
1,1,153.846161,523.716248
1,1,151.515152,416.381256
1,1,149.253738,391.317780
1,1,147.058823,252.181946
1,1,144.927536,168.815048
1,1,142.857147,116.820122
1,1,140.845078,112.272072
1,1,138.888885,94.366997
1,1,136.986298,40.555080
1,1,135.135132,4.823730
1,2,10000.000000,22604.105469
1,2,5000.000000,21082.458984
1,2,3333.333252,19650.431641
1,2,2500.000000,14298.504883
1,2,2000.000000,13100.895508
1,2,1666.666626,12692.986328
1,2,1428.571411,12620.934570
1,2,1250.000000,12380.258789
1,2,1111.111084,11747.578125
1,2,1000.000000,11102.161133
1,2,909.090881,10650.527344
1,2,833.333313,10329.731445
1,2,769.230774,10302.511719
1,2,714.285706,9221.665039
1,2,666.666687,9174.537109
1,2,625.000000,8875.157227
1,2,588.235291,8712.736328
1,2,555.555542,7932.651855
1,2,526.315796,7082.760254
1,2,500.000000,6756.623535
1,2,476.190491,6594.040039
1,2,454.545441,6334.572754
1,2,434.782623,6036.897461
1,2,416.666656,5634.473633
1,2,400.000000,5401.080566
1,2,384.615387,5294.519531
1,2,370.370361,4996.019531
1,2,357.142853,4877.800781
1,2,344.827576,4715.077148
1,2,333.333344,4502.156250
1,2,322.580658,4497.418945
1,2,312.500000,4231.168945
1,2,303.030304,4188.959961
1,2,294.117645,4055.278320
1,2,285.714294,4051.532959
1,2,277.777771,3968.183350
1,2,270.270264,3802.113525
1,2,263.157898,3783.356934
1,2,256.410248,3513.362305
1,2,250.000000,3444.422119
1,2,243.902435,3424.159180
1,2,238.095245,3223.703369
1,2,232.558136,3222.039307
1,2,227.272720,3118.453857
1,2,222.222229,3002.747559
1,2,217.391312,2953.952393
1,2,212.765961,2868.084961
1,2,208.333328,2766.538086
1,2,204.081635,2513.091064
1,2,200.000000,2319.760254
1,2,196.078430,2282.224854
1,2,192.307693,2184.791016
1,2,188.679245,2164.134521
1,2,185.185181,1885.981445
1,2,181.818176,1803.491333
1,2,178.571426,1754.694214
1,2,175.438599,1618.602905
1,2,172.413788,1593.661621
1,2,169.491531,1590.132446
1,2,166.666672,1560.067505
1,2,163.934433,1254.572266
1,2,161.290329,1195.028076
1,2,158.730164,1141.190674
1,2,156.250000,1069.395752
1,2,153.846161,1062.646606
1,2,151.515152,763.279114
1,2,149.253738,712.936279
1,2,147.058823,542.606873
1,2,144.927536,255.920517
1,2,142.857147,229.962021
1,2,140.845078,159.087891
1,3,10000.000000,33722.605469
1,3,5000.000000,24738.771484
1,3,3333.333252,23644.546875
1,3,2500.000000,21328.931641
1,3,2000.000000,19072.406250
1,3,1666.666626,16011.912109
1,3,1428.571411,14144.375000
1,3,1250.000000,13660.249023
1,3,1111.111084,12971.751953
1,3,1000.000000,12946.399414
1,3,909.090881,12823.092773
1,3,833.333313,12190.142578
1,3,769.230774,10842.330078
1,3,714.285706,10641.776367
1,3,666.666687,10036.713867
1,3,625.000000,9453.922852
1,3,588.235291,9235.267578
1,3,555.555542,9178.984375
1,3,526.315796,8610.372070
1,3,500.000000,8593.230469
1,3,476.190491,8579.585938
1,3,454.545441,8379.117188
1,3,434.782623,7528.179199
1,3,416.666656,7165.647949
1,3,400.000000,6678.024414
1,3,384.615387,6469.667969
1,3,370.370361,6105.691406
1,3,357.142853,5879.602539
1,3,344.827576,5614.971191
1,3,333.333344,5461.368164
1,3,322.580658,5380.885742
1,3,312.500000,5327.910156
1,3,303.030304,5272.006348
1,3,294.117645,4644.301758
1,3,285.714294,4604.598145
1,3,277.777771,4391.752930
1,3,270.270264,4383.104492
1,3,263.157898,3807.765381
1,3,256.410248,3742.211914
1,3,250.000000,3538.783691
1,3,243.902435,3366.239990
1,3,238.095245,3292.681885
1,3,232.558136,3115.392334
1,3,227.272720,3096.263916
1,3,222.222229,3005.557129
1,3,217.391312,2996.727539
1,3,212.765961,2595.428955
1,3,208.333328,2539.652344
1,3,204.081635,2512.557617
1,3,200.000000,2298.008301
1,3,196.078430,2097.119141
1,3,192.307693,2044.204712
1,3,188.679245,2042.960205
1,3,185.185181,2040.125488
1,3,181.818176,2003.493286
1,3,178.571426,1961.401855
1,3,175.438599,1867.161377
1,3,172.413788,1703.862427
1,3,169.491531,1566.214844
1,3,166.666672,1478.052612
1,3,163.934433,1445.849487
1,3,161.290329,1435.024292
1,3,158.730164,1392.338135
1,3,156.250000,1347.784912
1,3,153.846161,1194.988525
1,3,151.515152,1144.383423
1,3,149.253738,993.009705
1,3,147.058823,920.096252
1,3,144.927536,859.142029
1,3,142.857147,637.801208
1,3,140.845078,592.556885
1,3,138.888885,499.047668
1,3,136.986298,497.510162
1,3,135.135132,473.303345
1,3,133.333328,434.378937
1,3,131.578949,302.709961
1,3,129.870132,249.997574
1,3,128.205124,219.348938
1,3,126.582275,183.661530
1,3,125.000000,117.191017
1,3,123.456787,112.956741
1,3,121.951218,20.004932
1,4,10000.000000,31437.728516
1,4,5000.000000,24304.246094
1,4,3333.333252,18649.992188
1,4,2500.000000,17622.359375
1,4,2000.000000,13798.064453
1,4,1666.666626,13625.133789
1,4,1428.571411,12329.902344
1,4,1250.000000,10647.068359
1,4,1111.111084,10493.103516
1,4,1000.000000,10318.121094
1,4,909.090881,8990.105469
1,4,833.333313,8762.492188
1,4,769.230774,8225.565430
1,4,714.285706,8171.529297
1,4,666.666687,8163.113770
1,4,625.000000,7755.841797
1,4,588.235291,7499.008789
1,4,555.555542,7239.355469
1,4,526.315796,7187.673340
1,4,500.000000,6453.586426
1,4,476.190491,5953.857422
1,4,454.545441,5892.006836
1,4,434.782623,5615.704102
1,4,416.666656,5511.291992
1,4,400.000000,5198.656250
1,4,384.615387,4698.145996
1,4,370.370361,4695.584961
1,4,357.142853,4603.062988
1,4,344.827576,4350.773438
1,4,333.333344,4273.181641
1,4,322.580658,4154.603027
1,4,312.500000,3698.816162
1,4,303.030304,3545.686035
1,4,294.117645,3470.381348
1,4,285.714294,3412.897949
1,4,277.777771,3213.230957
1,4,270.270264,3190.108643
1,4,263.157898,3088.047852
1,4,256.410248,3075.479980
1,4,250.000000,3065.119385
1,4,243.902435,2966.560547
1,4,238.095245,2936.072021
1,4,232.558136,2881.768555
1,4,227.272720,2879.666016
1,4,222.222229,2609.142822
1,4,217.391312,2602.159668
1,4,212.765961,2563.487793
1,4,208.333328,2558.390137
1,4,204.081635,2469.785889
1,4,200.000000,2348.559570
1,4,196.078430,2330.684814
1,4,192.307693,2270.480957
1,4,188.679245,2163.708984
1,4,185.185181,2063.803467
1,4,181.818176,2058.785156
1,4,178.571426,1885.772583
1,4,175.438599,1884.518677
1,4,172.413788,1769.890259
1,4,169.491531,1507.141479
1,4,166.666672,1271.289307
1,4,163.934433,1260.989380
1,4,161.290329,1200.847656
1,4,158.730164,1090.815308
1,4,156.250000,1001.689209
1,4,153.846161,936.758850
1,4,151.515152,882.890686
1,4,149.253738,857.180908
1,4,147.058823,846.786377
1,4,144.927536,839.892212
1,4,142.857147,734.751587
1,4,140.845078,702.965637
1,4,138.888885,657.378540
1,4,136.986298,574.103333
1,4,135.135132,554.823059
1,4,133.333328,481.168976
1,4,131.578949,459.627563
1,4,129.870132,83.680664
1,4,128.205124,16.614845
1,5,10000.000000,27905.871094
1,5,5000.000000,25648.671875
1,5,3333.333252,24339.052734
1,5,2500.000000,17754.875000
1,5,2000.000000,16179.307617
1,5,1666.666626,15299.013672
1,5,1428.571411,13049.801758
1,5,1250.000000,12474.110352
1,5,1111.111084,12242.727539
1,5,1000.000000,10703.586914
1,5,909.090881,10533.489258
1,5,833.333313,9666.777344
1,5,769.230774,8672.082031
1,5,714.285706,8543.751953
1,5,666.666687,8422.724609
1,5,625.000000,8073.065918
1,5,588.235291,7412.502930
1,5,555.555542,7253.473145
1,5,526.315796,7129.946289
1,5,500.000000,7052.151855
1,5,476.190491,6991.755371
1,5,454.545441,6701.086914
1,5,434.782623,6671.417969
1,5,416.666656,6056.491699
1,5,400.000000,6020.361328
1,5,384.615387,5892.138672
1,5,370.370361,5878.473145
1,5,357.142853,4560.319336
1,5,344.827576,4247.075684
1,5,333.333344,4009.833496
1,5,322.580658,3968.062744
1,5,312.500000,3725.227783
1,5,303.030304,3713.053223
1,5,294.117645,3613.743408
1,5,285.714294,3526.581543
1,5,277.777771,3393.989014
1,5,270.270264,3367.761475
1,5,263.157898,3321.223145
1,5,256.410248,3321.153564
1,5,250.000000,2844.797607
1,5,243.902435,2792.591064
1,5,238.095245,2784.883789
1,5,232.558136,2667.620605
1,5,227.272720,2455.958008
1,5,222.222229,2395.731445
1,5,217.391312,2208.705078
1,5,212.765961,2172.489258
1,5,208.333328,1992.057495
1,5,204.081635,1875.648682
1,5,200.000000,1857.776489
1,5,196.078430,1786.882935
1,5,192.307693,1645.417480
1,5,188.679245,1636.731567
1,5,185.185181,1596.910034
1,5,181.818176,1555.172485
1,5,178.571426,1516.714478
1,5,175.438599,1451.528076
1,5,172.413788,1416.314087
1,5,169.491531,1316.859985
1,5,166.666672,1288.746704
1,5,163.934433,1212.309692
1,5,161.290329,1073.463013
1,5,158.730164,1072.209961
1,5,156.250000,1003.379028
1,5,153.846161,996.554016
1,5,151.515152,936.715759
1,5,149.253738,886.434998
1,5,147.058823,839.044983
1,5,144.927536,820.277649
1,5,142.857147,630.286255
1,5,140.845078,561.871887
1,5,138.888885,490.366730
1,5,136.986298,470.504913
1,5,135.135132,327.235565
1,5,133.333328,325.287903
1,5,131.578949,309.008209
1,5,129.870132,250.795319
1,5,128.205124,186.452347
1,5,126.582275,180.005859
1,5,125.000000,102.660942
1,5,123.456787,83.739845
1,6,10000.000000,39952.750000
1,6,5000.000000,28518.314453
1,6,3333.333252,27054.183594
1,6,2500.000000,24743.431641
1,6,2000.000000,18400.673828
1,6,1666.666626,17660.695312
1,6,1428.571411,13131.537109
1,6,1250.000000,12350.743164
1,6,1111.111084,10996.907227
1,6,1000.000000,9902.424805
1,6,909.090881,9000.051758
1,6,833.333313,8518.163086
1,6,769.230774,8400.655273
1,6,714.285706,7804.385254
1,6,666.666687,7522.829590
1,6,625.000000,7518.274414
1,6,588.235291,7504.188477
1,6,555.555542,7200.361328
1,6,526.315796,6930.575195
1,6,500.000000,6860.371582
1,6,476.190491,6355.428711
1,6,454.545441,6281.708496
1,6,434.782623,6213.608887
1,6,416.666656,6201.456055
1,6,400.000000,6077.533203
1,6,384.615387,6028.847656
1,6,370.370361,6015.666016
1,6,357.142853,5953.401855
1,6,344.827576,5820.673828
1,6,333.333344,5639.559570
1,6,322.580658,5440.305664
1,6,312.500000,5291.611328
1,6,303.030304,4500.143066
1,6,294.117645,4322.352051
1,6,285.714294,4267.016602
1,6,277.777771,4148.170410
1,6,270.270264,4068.346924
1,6,263.157898,3982.963135
1,6,256.410248,3776.965088
1,6,250.000000,3632.786377
1,6,243.902435,3520.852783
1,6,238.095245,3481.403564
1,6,232.558136,3278.784424
1,6,227.272720,3260.483887
1,6,222.222229,2672.661377
1,6,217.391312,2330.098389
1,6,212.765961,2314.957764
1,6,208.333328,2287.422852
1,6,204.081635,2227.880859
1,6,200.000000,2222.381104
1,6,196.078430,2169.758789
1,6,192.307693,2061.312744
1,6,188.679245,1972.783691
1,6,185.185181,1714.405762
1,6,181.818176,1708.518188
1,6,178.571426,1689.786987
1,6,175.438599,1644.805176
1,6,172.413788,1637.543579
1,6,169.491531,1633.299438
1,6,166.666672,1479.674438
1,6,163.934433,1465.694580
1,6,161.290329,1418.693359
1,6,158.730164,1271.717896
1,6,156.250000,1250.887573
1,6,153.846161,1034.367188
1,6,151.515152,1031.722900
1,6,149.253738,934.758423
1,6,147.058823,903.599731
1,6,144.927536,902.777405
1,6,142.857147,901.143799
1,6,140.845078,901.120361
1,6,138.888885,823.061768
1,6,136.986298,820.604309
1,6,135.135132,773.777405
1,6,133.333328,754.321899
1,6,131.578949,721.553955
1,6,129.870132,690.736572
1,6,128.205124,606.613525
1,6,126.582275,591.700195
1,6,125.000000,569.548279
1,6,123.456787,532.264465
