Summary_id, return_period, Loss
1, 10000.000000,67212.609375
1, 5000.000000,54419.046875
1, 3333.333252,52233.230469
1, 2500.000000,50780.351562
1, 2000.000000,50119.140625
1, 1666.666626,48944.875000
1, 1428.571411,47020.417969
1, 1250.000000,46961.328125
1, 1111.111084,45409.867188
1, 1000.000000,45209.996094
1, 909.090881,45046.351562
1, 833.333313,43427.777344
1, 769.230774,43279.582031
1, 714.285706,43244.179688
1, 666.666687,42982.851562
1, 625.000000,42764.691406
1, 588.235291,42751.078125
1, 555.555542,42672.500000
1, 526.315796,42637.312500
1, 500.000000,42595.789062
1, 476.190491,42572.339844
1, 454.545441,42369.644531
1, 434.782623,42140.867188
1, 416.666656,41763.808594
1, 400.000000,41667.785156
1, 384.615387,41526.460938
1, 370.370361,41458.132812
1, 357.142853,41358.691406
1, 344.827576,41167.378906
1, 333.333344,40309.023438
1, 322.580658,40245.523438
1, 312.500000,40172.039062
1, 303.030304,40127.460938
1, 294.117645,40076.015625
1, 285.714294,39952.753906
1, 277.777771,38983.906250
1, 270.270264,38699.757812
1, 263.157898,38617.000000
1, 256.410248,38523.453125
1, 250.000000,38342.410156
1, 243.902435,38188.859375
1, 238.095245,37984.320312
1, 232.558136,37497.464844
1, 227.272720,37326.078125
1, 222.222229,36808.617188
1, 217.391312,36804.531250
1, 212.765961,36610.148438
1, 208.333328,36227.425781
1, 204.081635,36179.296875
1, 200.000000,35999.890625
1, 196.078430,35996.960938
1, 192.307693,35925.500000
1, 188.679245,35863.402344
1, 185.185181,35799.093750
1, 181.818176,35717.765625
1, 178.571426,35455.605469
1, 175.438599,35072.414062
1, 172.413788,35071.160156
1, 169.491531,34831.847656
1, 166.666672,34715.101562
1, 163.934433,34704.625000
1, 161.290329,34545.347656
1, 158.730164,34490.847656
1, 156.250000,34391.296875
1, 153.846161,34380.386719
1, 151.515152,34293.546875
1, 149.253738,34263.964844
1, 147.058823,34243.031250
1, 144.927536,34132.519531
1, 142.857147,34077.003906
1, 140.845078,33979.519531
1, 138.888885,33973.894531
1, 136.986298,33722.703125
1, 135.135132,33382.476562
1, 133.333328,32997.218750
1, 131.578949,32829.984375
1, 129.870132,32704.748047
1, 128.205124,32659.138672
1, 126.582275,32598.638672
1, 125.000000,32518.636719
1, 123.456787,32268.195312
1, 121.951218,32078.128906
1, 120.481926,31918.666016
1, 119.047623,31917.443359
1, 117.647057,31863.230469
1, 116.279068,31780.873047
1, 114.942528,31543.396484
1, 113.636360,31538.724609
1, 112.359550,31508.736328
1, 111.111115,31469.199219
1, 109.890106,31437.671875
1, 108.695656,30983.257812
1, 107.526878,30633.064453
1, 106.382980,30624.429688
1, 105.263161,30393.203125
1, 104.166664,30390.261719
1, 103.092781,30177.291016
1, 102.040817,30111.728516
1, 101.010101,29842.164062
1, 100.000000,29675.546875
1, 99.009903,29663.375000
1, 98.039215,29650.033203
1, 97.087379,29569.943359
1, 96.153847,29415.699219
1, 95.238098,29307.582031
1, 94.339622,29286.367188
1, 93.457947,29262.490234
1, 92.592590,29239.660156
1, 91.743118,29234.923828
1, 90.909088,29159.875000
1, 90.090088,29057.123047
1, 89.285713,28844.376953
1, 88.495575,28652.236328
1, 87.719299,28610.025391
1, 86.956520,28552.832031
1, 86.206894,28518.296875
1, 85.470085,28450.142578
1, 84.745766,28320.869141
1, 84.033615,28317.478516
1, 83.333336,28152.183594
1, 82.644630,28100.746094
1, 81.967216,27963.806641
1, 81.300812,27747.634766
1, 80.645164,27712.009766
1, 80.000000,27331.181641
1, 79.365082,27265.791016
1, 78.740158,27239.259766
1, 78.125000,27182.386719
1, 77.519379,27154.273438
1, 76.923080,27054.507812
1, 76.335876,27023.183594
1, 75.757576,27022.650391
1, 75.187973,26915.667969
1, 74.626869,26847.535156
1, 74.074074,26832.083984
1, 73.529411,26791.843750
1, 72.992699,26716.070312
1, 72.463768,26622.216797
1, 71.942444,26491.636719
1, 71.428574,26489.404297
1, 70.921989,26395.003906
1, 70.422539,26346.080078
1, 69.930069,26282.861328
1, 69.444443,26209.832031
1, 68.965515,26079.361328
1, 68.493149,26041.449219
1, 68.027214,26039.185547
1, 67.567566,25933.003906
1, 67.114098,25881.603516
1, 66.666664,25850.968750
