Summary_id,type, return_period, Loss
1, 1, 10000.000000,7248.250488
1, 1, 7500.000000,6991.243164
1, 1, 5000.000000,6734.235840
1, 1, 1000.000000,5760.383789
1, 1, 500.000000,5039.050293
1, 1, 250.000000,4692.480469
1, 1, 200.000000,2335.742920
1, 1, 100.000000,0.000000
1, 1, 50.000000,0.000000
1, 1, 25.000000,0.000000
1, 1, 20.000000,0.000000
1, 1, 10.000000,0.000000
1, 1, 5.000000,0.000000
1, 1, 2.000000,0.000000
2, 1, 10000.000000,4885.427734
2, 1, 7500.000000,4878.507812
2, 1, 5000.000000,4871.587891
2, 1, 1000.000000,4346.360352
2, 1, 500.000000,4136.081543
2, 1, 250.000000,3856.742432
2, 1, 200.000000,3823.790283
2, 1, 100.000000,316.451538
2, 1, 50.000000,0.000000
2, 1, 25.000000,0.000000
2, 1, 20.000000,0.000000
2, 1, 10.000000,0.000000
2, 1, 5.000000,0.000000
2, 1, 2.000000,0.000000
3, 1, 10000.000000,19654.890625
3, 1, 7500.000000,19534.562500
3, 1, 5000.000000,19414.234375
3, 1, 1000.000000,18450.783203
3, 1, 500.000000,17749.576172
3, 1, 250.000000,16706.982422
3, 1, 200.000000,16362.919922
3, 1, 100.000000,0.000000
3, 1, 50.000000,0.000000
3, 1, 25.000000,0.000000
3, 1, 20.000000,0.000000
3, 1, 10.000000,0.000000
3, 1, 5.000000,0.000000
3, 1, 2.000000,0.000000
4, 1, 10000.000000,6528.520996
4, 1, 7500.000000,6488.561523
4, 1, 5000.000000,6448.602539
4, 1, 1000.000000,6128.646484
4, 1, 500.000000,5895.782715
4, 1, 250.000000,5549.542969
4, 1, 200.000000,5435.283691
4, 1, 100.000000,0.000000
4, 1, 50.000000,0.000000
4, 1, 25.000000,0.000000
4, 1, 20.000000,0.000000
4, 1, 10.000000,0.000000
4, 1, 5.000000,0.000000
4, 1, 2.000000,0.000000
5, 1, 10000.000000,10170.729492
5, 1, 7500.000000,10108.751953
5, 1, 5000.000000,10046.775391
5, 1, 1000.000000,9550.535156
5, 1, 500.000000,9189.371094
5, 1, 250.000000,8652.369141
5, 1, 200.000000,8475.155273
